Hash,Condition,turn1,turn2,turn3,turn4
d18c8931,19-A,https://moduloresearch.com/debates/prolific_qp/19/135006d6776af8be2cb50ef98b66609f2.html,https://moduloresearch.com/debates/prolific_qp/19/2d5249e24ceb2541cf11c565f61c05da3.html,https://moduloresearch.com/debates/prolific_qp/19/3eb73ca825b2a1975bc976b90fc68cb86.html,https://moduloresearch.com/debates/prolific_qp/19/482be7aafdad9976ace272da4db572a91.html
a9284877,19-B,https://moduloresearch.com/debates/prolific_qp/19/5c3e785d69bc901c6c7090f51b3b191db.html,https://moduloresearch.com/debates/prolific_qp/19/6138e5e1e06b20a207878f01e1c726d5a.html,https://moduloresearch.com/debates/prolific_qp/19/71f14d1591aef1e9f4b4af3d457ce0e71.html,https://moduloresearch.com/debates/prolific_qp/19/878d5ec4c0370d7022c29fa5b02cc3135.html
009f8322,20-A,https://moduloresearch.com/debates/prolific_qp/20/1e85653ef40d1e8c25cb717f826d9085a.html,https://moduloresearch.com/debates/prolific_qp/20/24843b94405819e144c818a1993411ce0.html,https://moduloresearch.com/debates/prolific_qp/20/35ecf6341bb74ce8902dc3a4fa28df192.html,https://moduloresearch.com/debates/prolific_qp/20/46e1fcc715bc694a298147b02344d1c63.html
a0dfcb54,20-B,https://moduloresearch.com/debates/prolific_qp/20/5bc9d2456de7e35c92af70bcc5c1db52e.html,https://moduloresearch.com/debates/prolific_qp/20/6a2b1e687d7a8d27ec3a0e2c849918c4f.html,https://moduloresearch.com/debates/prolific_qp/20/7e475a80453812a6f4d6f13c91d58f31e.html,https://moduloresearch.com/debates/prolific_qp/20/80eb8f71defe687ac27cef5fb9f87552c.html
41b90052,21-A,https://moduloresearch.com/debates/prolific_qp/21/1a67a013b9612a8aa6bad798b1c6980a6.html,https://moduloresearch.com/debates/prolific_qp/21/2c3add339358343523dba0737fe326d1c.html,https://moduloresearch.com/debates/prolific_qp/21/3ad70c10e28546e544de6d8b5c388fef2.html,https://moduloresearch.com/debates/prolific_qp/21/4c29862034b83861475eeefe422cfa95b.html
c9c95fd4,21-B,https://moduloresearch.com/debates/prolific_qp/21/56ecddce12e0660183dec0d1e8ad75ce9.html,https://moduloresearch.com/debates/prolific_qp/21/66a01cfb2a39cef32e67b48c5ca6b6680.html,https://moduloresearch.com/debates/prolific_qp/21/72f545e859c2da0792fd7fabb357a6315.html,https://moduloresearch.com/debates/prolific_qp/21/885a825b10c452b86cae8d94aa3d05af7.html
6f8e3f18,22-A,https://moduloresearch.com/debates/prolific_qp/22/1c02e968265e253dc86fbb3dc069d828f.html,https://moduloresearch.com/debates/prolific_qp/22/246f9b49fee4ad44f2ef0dbd179e61b63.html,https://moduloresearch.com/debates/prolific_qp/22/31c5f4140b75afac98208c03e3fbc4e29.html,https://moduloresearch.com/debates/prolific_qp/22/4a2f4ae8066c196574182666e454bdae2.html
0eda52cf,22-B,https://moduloresearch.com/debates/prolific_qp/22/5675393e9cc7826a0b62157d02399fa3f.html,https://moduloresearch.com/debates/prolific_qp/22/6eb85ac68f7c50a172127ee79c447b60f.html,https://moduloresearch.com/debates/prolific_qp/22/77aff34048e119c0922869951f333d822.html,https://moduloresearch.com/debates/prolific_qp/22/84d3eecf79c2a93ddd038b4b4a104acb4.html
85356c3b,23-A,https://moduloresearch.com/debates/prolific_qp/23/1dee9eb8b053a253477a7f0f0990477b6.html,https://moduloresearch.com/debates/prolific_qp/23/247fc4a56132f9db7432c9d3f27ffb7b6.html,https://moduloresearch.com/debates/prolific_qp/23/374530013684c93ccc54609dd8e99c60f.html,https://moduloresearch.com/debates/prolific_qp/23/4707944d8c8c0904e4affb0d102e4e221.html
56fed123,23-B,https://moduloresearch.com/debates/prolific_qp/23/53d9c0494d3958530349096946bd05f1d.html,https://moduloresearch.com/debates/prolific_qp/23/657b589a95873fa96ccde93f7817d4af4.html,https://moduloresearch.com/debates/prolific_qp/23/7d0274ca40e5d65686a9a62e311c6caf2.html,https://moduloresearch.com/debates/prolific_qp/23/8b0326269dc2b69be7f50aed19ee5bf14.html
6a211bbd,24-A,https://moduloresearch.com/debates/prolific_qp/24/1f27381acb9f99224c9d6c967541b9b17.html,https://moduloresearch.com/debates/prolific_qp/24/2a55ac842fd2fce548a14a7eeab0f1ba4.html,https://moduloresearch.com/debates/prolific_qp/24/39d03ba68e2bc86eb653a9f0682f89f50.html,https://moduloresearch.com/debates/prolific_qp/24/4f118d7916ff1ba0a028a824f48c1c448.html
b1b4c272,24-B,https://moduloresearch.com/debates/prolific_qp/24/52d97f1bc2230e5f503f28ee290deac37.html,https://moduloresearch.com/debates/prolific_qp/24/63d44b03e48c65d0f70adecddd46ce2e7.html,https://moduloresearch.com/debates/prolific_qp/24/7a6e63de9bce0228bfbcacd76b53a94bc.html,https://moduloresearch.com/debates/prolific_qp/24/809d9a86d5ee2432a44af8b9d17f47d43.html
